ID,NTA Name,Borough,Total households,Households living alone,Households older then 65y,Tot population,Males,Females,Under 18y,Over 65y ,Hispanic/Latino,White,Black or AfroAmerican,Asian,Population over 16y,Workers 16y and over,Commuting to work by driving,Commuting to work by car pooling,Commuting to work by public transport,Going to work by walk,Working at home,Mean travel time to work,Civilians employed over 16y,Private wage or salary workers,Government workers,Self employers,Unpaid person family workers,Households income less 10000$,Mean households income ,Annual income per capita ,Median earning for workers ,Civilians noninstitutionals with health insurance (private and public),Not covered by health insurance,People which poverty state is determined,geometry
148,Queens Village,Queens,15538,2270,990,54732,26092,28640,10417,7443,9161,3499,26241,9152,45828,26317,11999,2026,11068,392,474,47.8,26904,20411,5285,1203,5,820,81963,25260,33453,48971,5585,54423,POINT (1056678.724881023 201296.6830863506)
149,Queensboro Hill,Queens,6049,774,346,21460,10667,10793,4039,3128,3615,2985,306,14198,18082,9188,3573,1528,3626,300,44,43.1,9435,7715,1299,400,21,396,69947,21073,28231,17126,4309,21403,POINT (1032517.458899185 210592.3957941085)
150,Queensbridge-Ravenswood-Long Island City,Queens,7805,2676,824,18927,9084,9843,3527,2023,7364,3181,3871,3707,15769,8091,950,212,5698,796,180,37.5,8387,6826,943,591,27,1353,49300,21430,26870,16601,2319,18908,POINT (999312.8786549419 214745.8179334402)
151,Rego Park,Queens,12260,4812,1681,28106,13170,14936,4409,5377,4896,12501,949,9008,24163,13764,3005,677,8224,1373,381,42.3,14078,11406,1771,892,9,1213,74753,33623,42857,25058,3038,28068,POINT (1023654.733186364 204893.4609977752)
152,Richmond Hill,Queens,17473,2033,642,68275,34282,33993,15878,6496,24995,6813,5333,21241,54458,31072,9424,2351,16218,1875,755,45.2,31874,25500,3646,2630,98,1101,75506,20972,28118,57299,10776,67852,POINT (1030880.83257927 193602.2450631857)
153,Ridgewood,Queens,24198,5254,1641,72964,35907,37057,16753,6127,35051,29940,1274,5810,57860,35976,6399,1455,23965,2482,1001,39.5,36442,30003,4113,2320,6,2249,69489,24563,34432,59469,13410,72806,POINT (1011576.718300447 197353.0879551917)
155,Rosedale,Queens,7619,1076,396,27462,12398,15064,6235,2862,2316,1031,23124,457,21978,13911,7113,1025,5067,189,406,50.4,14188,10464,3114,597,13,253,96902,28742,38691,25371,2077,27406,POINT (1057701.239896357 179776.3006022722)
156,Rossville,Staten Island,7435,1212,535,21397,10470,10927,4811,2998,1990,18050,18,988,17061,9723,6080,740,2462,229,117,46,9861,7276,2295,290,0,273,110151,38559,52139,20708,689,21387,POINT (924297.5598538518 139513.0304071903)
157,Rugby-Remsen Village,Brooklyn,20761,6503,1895,55951,24412,31539,11933,8034,3917,985,49751,608,45536,24806,6102,1129,15484,1137,600,46.7,25337,18883,5119,1286,49,2013,59398,23128,32585,48636,7005,55569,POINT (1004537.693008438 178127.5230599344)
158,Schuylerville-Throgs Neck-Edgewater Park,The Bronx,16527,4513,1946,47580,23187,24393,9808,7407,21588,18892,4396,1697,38839,21322,10076,1988,7243,1190,548,40.7,21889,16942,4223,698,26,1293,83834,31055,41907,43430,3899,45909,POINT (1032349.112451106 240470.1487025172)
159,Seagate-Coney Island,Brooklyn,10981,3568,1974,29677,13277,16400,6965,5717,7776,9216,8841,3128,23598,9422,2146,547,5399,913,243,48.4,9648,7717,1650,278,3,2396,51426,20054,23845,26479,2596,29039,POINT (982062.8888767809 149265.6336053461)
